1.-Cow-measurement-ID,1.-Experiment-ID,1.-Cow-ID,1.-Treatment-ID,1.-Period-code-within-experiment,1.-Experiment-number,1.-Cow-number,2.-Cow-age-(month),2.-Body-weight-(kg),2.-Physiological-status-,2.-Lactation-week,2.-Gestation-status,2.-Gestation-week,3.-Diet-type,3.-Feed-ID-1,3.-Feed-ID-2,3.-Feed-ID-3,3.-Feed-ID-4,3.-Feed-ID-5,3.-Feed-ID-6,3.-Feed-ID-7,3.-Feed-ID-8,3.-Feed-ID-9,3.-Feed-ID-10,3.-Feed-ID-11,3.-Feed-1-intake-(kg-DM/day)-,3.-Feed-2-intake-(kg-DM/day),3.-Feed-3-intake-(kg-DM/day),3.-Feed-4-intake-(kg-DM/day),3.-Feed-5-intake-(kg-DM/day),3.-Feed-6-intake-(kg-DM/day),3.-Feed-7-intake-(kg-DM/day),3.-Feed-8-intake-(kg-DM/day),3.-Feed-9-intake-(kg-DM/day),3.-Feed-10-intake-(kg-DM/day),3.-Feed-11-intake-(kg-DM/day),"3.-Forage-proportion-in-the-diet-(kg/kg,-DM-basis)","3.-Maize-forage-proportion-in-the-diet-(kg/kg,-DM-basis)","3.-Fresh-herbage-proportion-in-the-diet-(kg/kg,-DM-basis)","3.-Hay-proportion-in-the-diet-(kg/kg,-DM-basis)","3.-Dehydrated-lucerne-proportion-in-the-diet-(kg/kg,-DM-basis)","3.-Dehydrated-herbage-proportion-in-the-diet-(kg/kg,-DM-basis)","3.-Straw-proportion-in-the-diet-(kg/kg,-DM-basis)","3.-Dehydrated-forage-proportion-in-the-diet-(kg/kg,-DM-basis)","3.-Concentrate-proportion-in-the-diet-(kg/kg,-DM-basis)",4.-Diet-DM-concentration-(g/kg),4.-Diet-OM-concentration-(g/kg-DM),4.-Diet-ash-concentration-(g/kg-DM),4.-Diet-N-concentration-(g/kg-DM),4.-Diet-CP-concentration-(g/kg-DM),4.-Diet-NDF-concentration-(g/kg-DM),4.-Diet-ADF-concentration-(g/kg-DM),4.-Diet-ADL-concentration-(g/kg-DM),4.-DM-intake-(kg/day),4.-DMI-/-100-kg-body-weight,4.-OM-intake-(kg/day),4.-Ash-intake-(kg/day),4.-N-intake-(g/day),4.-CP-intake-(g/day),4.-NDF-Intake-(kg/day),4.-ADF-intake-(kg/day),4.-ADL-intake-(g/day),4.-Diet-water-intake-(kg/day),4.-Amount-of-water-drunk-(kg/day),4.-Total-water-intake-(kg/day),5.-Fresh-faeces-excretion-(kg/day),5.-Faecal-DM--concentration-(g/kg),5.-Faecal-OM-concentration-(g/kg-DM),5.-Faecal-ash-concentration-(g/kg-DM),5.-Faecal-N-concentration-(g/kg-DM),5.-Faecal-CP-concentration-(g/kg-DM),5.-Faecal-NDF-concentration-(g/kg-DM),5.-Faecal-ADF-concentration-(g/kg-DM),5.-Faecal-DM-excretion-(kg/day),5.-Faecal-water-excretion-(kg/day),5.-Faecal-OM-excretion-(kg/day),5.-Faecal-ash-excretion-(kg/day),5.-Faecal-N-excretion-(g/day),5.-Faecal-CP-excretion-(g/day)-,5.-Faecal-NDF-excretion-(kg/day),5.-Faecal-ADF-excretion-(kg/day),5.-DM-digestibility-(g/g),5.-OM-digestibility-(g/g),5.-Ash-digestibility-(g/g),5.-N-digestibility-(g/g),5.-NDF-digestibility-(g/g),5.-ADF-digestibility-(g/g),5.-Non-digestible-CP-(g/kg-DMI)-,5.-Non-digestible-N-(g/kg-DMI),5.-Non-digestible-OM-(g/kg-DMI),6.-Milk-production-(kg/day),6.-Milk-water-excretion-(kg/day),6.-Milk-fat-concentration-(g/kg),6.-Milk-true-protein-concentration-(g/kg),6.-Milk-N-excretion-(g/day),6.-Milk-urea-concentration-(mg/dL),7.-Urine-excretion-(kg/day),7.-Urinary-N-concentration-(g/kg),7.-Urinary-urea-concentration-(g/kg),7.-Urinary-N-excretion-(g/day),7.-Urinary-urea-excretion-(g/day),8.-Basal-plasma-urea-concentration-(mg/dL),8.-Plasma-urea-concentration-3h-after-feeding-(mg/dL),8.-Plasma-urea-concentration4h-after-feeding-(mg/dL),8.-Plasma-urea-concentration-6h-after-feeding-(mg/dL),9.-N-balance-(g/day)-,9.-N-use-efficiency-(milk-N-excretion-/-N-intake)
E01_C1_P1,E01,E01_C1,E01_T1,P1,8308,74052,104,519,lactating,32,pregnant,23,Fresh_herbage,E01_F01,,,,,,,,,,,11.5,,,,,,,,,,,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,,881,119.1,30.4,190,,,,11.5,2.21,10.1,1.37,349,2181,,,,,,,21.5,129,829,171,29.3,183,406,316,2.76,18.7,2.29,0.473,81,506,1.12,0.87,0.760,0.774,0.654,0.768,,,44.0,7.04,199,14.7,12.7,47.2,31.3,76,,41.4,4.3,,176,,,,,,16.3,0.217
E01_C3_P1,E01,E01_C3,E01_T1,P1,8308,76007,89,517,lactating,31,pregnant,13,Fresh_herbage,E01_F01,,,,,,,,,,,12.6,,,,,,,,,,,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,,879,121.0,30.3,189,,,,12.6,2.43,11.0,1.52,380,2375,,,,,,,22.5,131,821,179,28.5,178,395,310,2.94,19.5,2.42,0.528,84,524,1.16,0.91,0.765,0.781,0.652,0.779,,,41.8,6.69,192,16.9,14.6,46.3,29.6,83,,32.4,6.5,,209,,,,,,4.5,0.217
E01_C6_P1,E01,E01_C6,E01_T1,P1,8308,80072,32,474,lactating,26,not pregnant,0,Fresh_herbage,E01_F01,,,,,,,,,,,10.7,,,,,,,,,,,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,,888,112.3,30.7,192,,,,10.7,2.26,9.5,1.21,329,2056,,,,,,,21.8,117,809,191,30.3,189,399,309,2.56,19.3,2.07,0.490,78,484,1.02,0.79,0.762,0.783,0.593,0.764,,,45.1,7.22,193,18.1,15.7,42.5,31.3,93,,32.0,5.6,,180,,,,,,-21.8,0.284
E01_C1_P2,E01,E01_C1,E01_T2,P2,8308,74052,105,538,lactating,34,pregnant,25,Fresh_herbage,E01_F02,,,,,,,,,,,9.4,,,,,,,,,,,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,,867,132.7,32.0,200,,,,9.4,1.74,8.1,1.24,300,1875,,,,,,,18.3,126,788,212,18.8,117,402,245,2.31,16.0,1.82,0.489,43,271,0.93,0.56,0.754,0.777,0.607,0.856,,,28.9,4.62,194,10.9,9.4,44.5,30.6,55,,44.0,3.2,,139,,,,,,62.7,0.183
E01_C3_P2,E01,E01_C3,E01_T2,P2,8308,76007,89,529,lactating,33,pregnant,15,Fresh_herbage,E01_F02,,,,,,,,,,,10.1,,,,,,,,,,,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,,866,133.7,32.0,200,,,,10.1,1.90,8.7,1.35,322,2013,,,,,,,17.1,130,873,127,26.2,164,385,236,2.22,14.8,1.94,0.283,58,364,0.85,0.52,0.779,0.778,0.790,0.819,,,36.1,5.78,192,16.7,14.5,45.5,28.7,79,,36.7,4.0,,148,,,,,,36.5,0.246
E01_C4_P2,E01,E01_C4,E01_T2,P2,8308,79034,45,430,lactating,35,pregnant,23,Fresh_herbage,E01_F02,,,,,,,,,,,10.0,,,,,,,,,,,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,,871,129.0,32.1,200,,,,10.0,2.32,8.7,1.29,320,2000,,,,,,,21.1,110,829,171,32.3,202,423,258,2.33,18.8,1.93,0.398,75,470,0.98,0.60,0.767,0.778,0.691,0.765,,,47.1,7.53,193,14.6,12.6,47.7,31.1,75,,31.4,4.6,,144,,,,,,26.0,0.234
E01_C6_P2,E01,E01_C6,E01_T2,P2,8308,80072,32,473,lactating,28,not pregnant,0,Fresh_herbage,E01_F02,,,,,,,,,,,9.3,,,,,,,,,,,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,,868,132.1,32.0,200,,,,9.3,1.97,8.1,1.23,298,1863,,,,,,,17.8,130,864,136,28.1,175,377,237,2.31,15.5,2.00,0.313,65,405,0.87,0.55,0.752,0.753,0.746,0.783,,,43.5,6.95,214,14.0,12.2,37.3,31.1,72,,29.1,5.0,,146,,,,,,15.4,0.241
E01_C1_P3,E01,E01_C1,E01_T1,P3,8308,74052,105,556,lactating,36,pregnant,27,Fresh_herbage,E01_F03,,,,,,,,,,,11.5,,,,,,,,,,,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,,882,117.5,27.7,173,,,,11.5,2.06,10.1,1.35,317,1981,,,,,,,25.2,136,838,162,24.2,151,454,250,3.43,21.7,2.87,0.554,83,518,1.56,0.86,0.701,0.716,0.589,0.739,,,45.2,7.23,251,10.5,9.1,41.5,31.5,54,,39.4,,,,,,,,,,0.172
E01_C3_P3,E01,E01_C3,E01_T1,P3,8308,76007,90,541,lactating,35,pregnant,17,Fresh_herbage,E01_F03,,,,,,,,,,,12.0,,,,,,,,,,,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,,882,117.9,27.7,173,,,,12.0,2.22,10.6,1.42,332,2075,,,,,,,31.1,109,830,170,22.4,140,416,231,3.40,27.7,2.82,0.579,76,477,1.41,0.78,0.717,0.733,0.591,0.770,,,39.7,6.36,235,13.3,11.5,45.1,29.3,64,,27.1,,,,,,,,,,0.194
E01_C4_P3,E01,E01_C4,E01_T1,P3,8308,79034,45,433,lactating,37,pregnant,25,Fresh_herbage,E01_F03,,,,,,,,,,,10.1,,,,,,,,,,,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,,882,117.8,27.6,173,,,,10.1,2.33,8.9,1.19,278,1738,,,,,,,17.8,146,822,178,21.8,136,412,232,2.60,15.2,2.14,0.462,57,354,1.07,0.60,0.742,0.759,0.610,0.796,,,35.1,5.62,212,8.8,7.6,48.0,33.2,48,,27.9,4.4,,124,,,,,,49.4,0.173
