ingredient_id,name,category,dm_pct,cp_pct_dm,me_mj_per_kg_dm,ndf_pct_dm,adf_pct_dm,hemicellulose_pct_dm,cellulose_pct_dm,lignin_pct_dm,ee_pct_dm,ash_pct_dm,ca_pct_dm,p_pct_dm,tdn_pct_dm,cost_inr_per_kg_asfed,inclusion_min_kg,inclusion_max_kg
1,Maize grain,concentrate_energy,92.71,9.51,11.51,26.15,6.64,19.51,4.91,1.5,4.43,3.01,0,0.3,89,22,0,4
2,Wheat bran,concentrate_energy,91.33,14.46,9.78,41.16,12.57,28.59,9.15,2.92,3.14,5.76,0.13,1.04,71.9,24,0,3
3,De-oiled rice bran (DORB),concentrate_energy,92.33,13.25,7.39,47.16,16.98,30.18,10.15,5.42,1.81,9.37,2.04,1.61,83.4,18,0,3
4,Molasses (sugarcane),concentrate_energy,76,5,12.21,0,0,0,0,0,0,10,1.1,0.08,75,14,0,1
5,Groundnut cake (expeller),concentrate_protein,93.18,41.54,9.44,24.17,18.47,5.7,13.59,3.59,6.88,5.78,0.2,0.65,77,44,0,2.5
6,Cottonseed cake (expeller),concentrate_protein,91.3,27.11,7.71,47.31,35.56,11.75,24.4,7.26,7.51,4.44,0.16,0.75,60.4,41,0,2
7,Mustard cake (expeller),concentrate_protein,92.77,37.29,9.21,23.33,17.73,5.6,13.77,3.23,7.03,5.11,0.68,0.99,74.3,42,0,1.5
8,Soybean meal (solvent),concentrate_protein,91.41,45.59,9.24,18.23,10.47,7.76,8.4,1.85,2.01,6.63,0.3,0.65,84,48,0,2.5
9,Wheat straw,roughage_dry,90.13,3.39,4.65,76.22,50.99,25.23,36.07,9.11,1.04,9.79,0.18,0.05,41,5,0,8
10,Sugarcane tops (fresh),roughage_green,21.15,6.13,8,66.69,38.47,28.22,0,0,0.04,9.46,0.28,0.12,53,12,0,10
11,Maize fodder (green),roughage_green,15.96,9.51,8.19,66.69,39.67,27.03,32.53,5.49,1.36,11.36,0.3,0.18,67,1.5,0,20
12,Jowar fodder (green),roughage_green,18.81,7.29,6.86,70.01,42.25,27.76,35.88,4.33,1.81,11.91,0.41,0.23,56.8,1.5,0,20
13,Bajra fodder (green),roughage_green,20.57,8.07,7.63,63.63,37.86,25.77,30.13,5.18,2.91,10.05,0.5,0.21,52.5,1.5,0,20
14,Berseem (green),roughage_green,17.05,17.9,8.51,43.28,24.08,19.2,15.04,7.09,2.83,10.09,0.193,0.027,63.6,1.5,0,15
15,Hybrid Napier (fresh),roughage_green,21.12,11.62,8.51,64.67,41.51,23.16,0,0,2.45,8.3,0.49,0.17,52.25,3,0,20
16,Urea,NPN,99,281,0,0,0,0,0,0,0,0,0,0,0,46.5,0,0.15
17,Mineral-vitamin premix,mineral_supplement,98,0,0,0,0,0,0,0,0,99.8,19.1,6.53,0,115,0.05,0.15
18,Dicalcium phosphate,mineral_supplement,96,0,0,0,0,0,0,0,0,78,22,18.65,0,58,0,0.1
19,Maize gluten feed,concentrate_protein,89.8,22.6,13.02,35,11.2,23.8,0,0,3.3,7,0.1,1.01,80,40,0,2
